antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_str,consequent_str
"frozenset({'level_haut', 'spec_head_neck'})",frozenset({'uth_oui'}),0.28191834089436163,0.7077122488658457,0.2391445236552171,0.8482758620689655,1.1986169003410383,1.0,0.039627460624340305,1.9264419961114718,0.2307607642863432,0.31865284974093266,0.48090832632464275,0.5930939749905267,"level_haut, spec_head_neck",uth_oui
"frozenset({'target_inappropriate', 'reason_treatment', 'age_adulte'})","frozenset({'level_haut', 'uth_oui'})",0.1561892417368762,0.7070641607258588,0.1322099805573558,0.8464730290456433,1.1971657963496127,1.0,0.021774165434263165,1.908041547704543,0.19517860907803988,0.18085106382978722,0.47590239782616706,0.5167287235054064,"target_inappropriate, reason_treatment, age_adulte","level_haut, uth_oui"
"frozenset({'level_haut', 'spec_rhinology'})",frozenset({'uth_oui'}),0.28839922229423204,0.7077122488658457,0.24432922877511343,0.8471910112359551,1.197084002140182,1.0,0.040225566594101536,1.912765430216157,0.23136109540857996,0.325,0.4771967413238996,0.5962145532370252,"level_haut, spec_rhinology",uth_oui
"frozenset({'target_inappropriate', 'reason_treatment', 'age_adulte'})",frozenset({'uth_oui'}),0.1561892417368762,0.7077122488658457,0.1322099805573558,0.8464730290456433,1.1960694906753,1.0,0.021672941039099933,1.90382021684679,0.19427125688985283,0.18069087688219665,0.4747403188856487,0.516643107929415,"target_inappropriate, reason_treatment, age_adulte",uth_oui
"frozenset({'uth_oui', 'spec_otology', 'target_appropriate'})",frozenset({'level_haut'}),0.10563836681788723,0.8392741412832145,0.10563836681788723,1.0,1.1915057915057914,1.0,0.016978817220243705,inf,0.17971014492753626,0.12586872586872586,1.0,0.5629343629343629,"uth_oui, spec_otology, target_appropriate",level_haut
"frozenset({'target_inappropriate', 'reason_treatment', 'uth_oui', 'spec_head_neck'})",frozenset({'level_haut'}),0.12961762799740764,0.8392741412832145,0.12961762799740764,1.0,1.1915057915057914,1.0,0.02083290456471619,inf,0.18466120625465365,0.15444015444015444,1.0,0.5772200772200772,"target_inappropriate, reason_treatment, uth_oui, spec_head_neck",level_haut
"frozenset({'uth_oui', 'attendance_first', 'spec_rhinology'})",frozenset({'level_haut'}),0.12313674659753726,0.8392741412832145,0.12313674659753726,1.0,1.1915057915057914,1.0,0.01979125933648039,inf,0.18329637841832966,0.1467181467181467,1.0,0.5733590733590733,"uth_oui, attendance_first, spec_rhinology",level_haut
"frozenset({'uth_oui', 'spec_rhinology', 'reason_treatment'})",frozenset({'level_haut'}),0.1743357096565133,0.8392741412832145,0.1743357096565133,1.0,1.1915057915057914,1.0,0.0280202566395433,inf,0.19466248037676617,0.20772200772200772,1.0,0.6038610038610038,"uth_oui, spec_rhinology, reason_treatment",level_haut
"frozenset({'uth_oui', 'attendance_review', 'target_appropriate'})",frozenset({'level_haut'}),0.14322747893713544,0.8392741412832145,0.14322747893713544,1.0,1.1915057915057914,1.0,0.023020359544011396,inf,0.18759455370650527,0.17065637065637065,1.0,0.5853281853281853,"uth_oui, attendance_review, target_appropriate",level_haut
"frozenset({'target_inappropriate', 'uth_oui', 'attendance_review'})",frozenset({'level_haut'}),0.1678548282566429,0.8392741412832145,0.1678548282566429,1.0,1.1915057915057914,1.0,0.026978611411307474,inf,0.1931464174454828,0.19999999999999998,1.0,0.6,"target_inappropriate, uth_oui, attendance_review",level_haut
"frozenset({'uth_oui', 'attendance_review', 'spec_head_neck'})",frozenset({'level_haut'}),0.11471160077770577,0.8392741412832145,0.11471160077770577,1.0,1.1915057915057914,1.0,0.018437120539773838,inf,0.1815519765739385,0.13667953667953667,1.0,0.5683397683397683,"uth_oui, attendance_review, spec_head_neck",level_haut
"frozenset({'target_inappropriate', 'uth_oui', 'reason_treatment'})",frozenset({'level_haut'}),0.34154244977316917,0.8392741412832145,0.34154244977316917,1.0,1.1915057915057914,1.0,0.05489470352802717,inf,0.24409448818897628,0.406949806949807,1.0,0.7034749034749035,"target_inappropriate, uth_oui, reason_treatment",level_haut
"frozenset({'uth_oui', 'target_appropriate'})",frozenset({'level_haut'}),0.2968243681140635,0.8392741412832145,0.2968243681140635,1.0,1.1915057915057914,1.0,0.0477073514532001,inf,0.22857142857142856,0.3536679536679536,1.0,0.6768339768339768,"uth_oui, target_appropriate",level_haut
"frozenset({'uth_oui', 'attendance_review'})",frozenset({'level_haut'}),0.31108230719377833,0.8392741412832145,0.31108230719377833,1.0,1.1915057915057914,1.0,0.049998970955318855,inf,0.2333019755409218,0.37065637065637064,1.0,0.6853281853281853,"uth_oui, attendance_review",level_haut
"frozenset({'uth_oui', 'attendance_first', 'reason_treatment'})",frozenset({'level_haut'}),0.3020090732339598,0.8392741412832145,0.3020090732339598,1.0,1.1915057915057914,1.0,0.04854066763578874,inf,0.23026926648096557,0.3598455598455598,1.0,0.6799227799227799,"uth_oui, attendance_first, reason_treatment",level_haut
"frozenset({'uth_oui', 'attendance_review', 'reason_treatment'})",frozenset({'level_haut'}),0.24303305249513935,0.8392741412832145,0.24303305249513935,1.0,1.1915057915057914,1.0,0.03906169605884288,inf,0.21232876712328771,0.28957528957528955,1.0,0.6447876447876448,"uth_oui, attendance_review, reason_treatment",level_haut
"frozenset({'reason_treatment', 'uth_oui', 'age_adulte', 'attendance_first'})",frozenset({'level_haut'}),0.12313674659753726,0.8392741412832145,0.12313674659753726,1.0,1.1915057915057914,1.0,0.01979125933648039,inf,0.18329637841832966,0.1467181467181467,1.0,0.5733590733590733,"reason_treatment, uth_oui, age_adulte, attendance_first",level_haut
"frozenset({'uth_oui', 'target_appropriate', 'spec_rhinology'})",frozenset({'level_haut'}),0.10563836681788723,0.8392741412832145,0.10563836681788723,1.0,1.1915057915057914,1.0,0.016978817220243705,inf,0.17971014492753626,0.12586872586872586,1.0,0.5629343629343629,"uth_oui, target_appropriate, spec_rhinology",level_haut
"frozenset({'reason_treatment', 'uth_oui', 'target_appropriate', 'attendance_first'})",frozenset({'level_haut'}),0.10628645495787427,0.8392741412832145,0.10628645495787427,1.0,1.1915057915057914,1.0,0.017082981743067285,inf,0.1798404641044235,0.12664092664092663,1.0,0.5633204633204634,"reason_treatment, uth_oui, target_appropriate, attendance_first",level_haut
"frozenset({'uth_oui', 'attendance_first', 'spec_otology'})",frozenset({'level_haut'}),0.12119248217757615,0.8392741412832145,0.12119248217757615,1.0,1.1915057915057914,1.0,0.01947876576800965,inf,0.18289085545722716,0.1444015444015444,1.0,0.5722007722007723,"uth_oui, attendance_first, spec_otology",level_haut
"frozenset({'uth_oui', 'target_appropriate', 'reason_treatment'})",frozenset({'level_haut'}),0.20479585223590407,0.8392741412832145,0.20479585223590407,1.0,1.1915057915057914,1.0,0.032915989212251584,inf,0.20211898940505293,0.244015444015444,1.0,0.622007722007722,"uth_oui, target_appropriate, reason_treatment",level_haut
"frozenset({'age_tout_petit', 'uth_oui'})",frozenset({'level_haut'}),0.11989630589760207,0.8392741412832145,0.11989630589760207,1.0,1.1915057915057914,1.0,0.019270436722362477,inf,0.182621502209131,0.14285714285714285,1.0,0.5714285714285714,"age_tout_petit, uth_oui",level_haut
"frozenset({'uth_oui', 'attendance_review', 'spec_rhinology'})",frozenset({'level_haut'}),0.12054439403758911,0.8392741412832145,0.12054439403758911,1.0,1.1915057915057914,1.0,0.019374601245186057,inf,0.1827560795873249,0.14362934362934363,1.0,0.5718146718146718,"uth_oui, attendance_review, spec_rhinology",level_haut
"frozenset({'uth_oui', 'age_adulte'})",frozenset({'level_haut'}),0.24044069993519118,0.8392741412832145,0.24044069993519118,1.0,1.1915057915057914,1.0,0.038645037967548534,inf,0.2116040955631398,0.2864864864864865,1.0,0.6432432432432432,"uth_oui, age_adulte",level_haut
"frozenset({'uth_oui', 'spec_rhinology'})",frozenset({'level_haut'}),0.24432922877511343,0.8392741412832145,0.24432922877511343,1.0,1.1915057915057914,1.0,0.03927002510449004,inf,0.21269296740994856,0.2911196911196911,1.0,0.6455598455598456,"uth_oui, spec_rhinology",level_haut
"frozenset({'target_inappropriate', 'reason_treatment', 'uth_oui', 'spec_rhinology'})",frozenset({'level_haut'}),0.11600777705767984,0.8392741412832145,0.11600777705767984,1.0,1.1915057915057914,1.0,0.018645449585420998,inf,0.18181818181818182,0.13822393822393822,1.0,0.5691119691119692,"target_inappropriate, reason_treatment, uth_oui, spec_rhinology",level_haut
